Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Quadrat number,Hard coral (% cover),Soft coral (% cover),Macroalgae (% cover),Observation notes,Number of quadrats,Average Hard Coral (% cover),Average Soft Coral (% cover),Average Macroalgae (% cover)
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,15,50,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,16,40,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,17,70,0,5,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,18,70,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,19,55,0,5,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,20,5,0,0,,20,39.2,5.0,2.2
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,1,45,0,5,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,2,25,0,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,3,20,0,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,4,15,0,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,5,20,0,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,6,10,30,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,7,5,0,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,8,5,25,0,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,9,5,80,15,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,10,5,0,10,,21,21.9,14.0,5.0
Fiji Bleaching 2019,Fiji,BU07,-17.742,178.765,very sheltered,1.50,fringing,back reef,2019-05-29,01:25:00,high,1-5m - poor,,1.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,11,70,0,15,,21,21.9,14.0,5.0
