Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Benthic attribute,Growth form,Normal count,Pale count,0-20% bleached count,20-50% bleached count,50-80% bleached count,80-100% bleached count,Recently dead count,Observation notes
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Leptastrea,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Oxypora,,2,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,Amazing Maze,-17.24858,178.19439999999997,exposed,1.50,patch,pinnacle,2019-05-16,09:25:00,falling,5-10m - fair,low,13.0,Open,,,,,,Open Access,"Emily Darling,Stacy Jupiter",,"pinnacle in Vatu-i-Ra; WAN1 on GPS
Actual Long: E 178.19440","Add Stacy as observer
Water temp 26C",,Platygyra,,2,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Acropora,,28,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Montipora,,60,2,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Porites,Massive,19,7,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Merulina,,2,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Caulastraea,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Cyphastrea,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Goniastrea,,4,1,0,0,0,0,0,
